,Position,Club,Played,Won,Draw,Loss,GF,GA,GD,Points,Next Match
0,1,Mdne,12,9,1,2,32,12,20,28,MCI
1,2,sdflk,12,8,3,1,27,10,17,27,MCI
2,3,sdf,12,8,3,1,26,10,16,27,BRE
3,4,TOT,12,8,2,2,24,15,9,26,TOT
4,5,AVL,12,8,1,3,29,17,12,25,TOT
5,6,MUN,12,7,0,5,13,16,-3,21,EVE
6,7,NEW,12,6,2,4,27,13,14,20,NEW
7,8,BHA,12,5,4,3,25,21,4,19,NFO
8,9,WHU,12,5,2,5,21,22,-1,17,BUR
9,10,CHE,12,4,4,4,21,16,5,16,NEW
10,11,BRE,12,4,4,4,19,17,2,16,BRE
11,12,WOL,12,4,3,5,16,20,-4,15,FUL
12,13,CRY,12,4,3,5,12,16,-4,15,LUT
13,14,EVE,12,4,2,6,14,17,-3,14,EVE
14,15,NFO,12,3,4,5,14,18,-4,13,NFO
15,16,FUL,12,3,3,6,10,20,-10,12,FUL
16,17,BOU,12,2,3,7,11,27,-16,9,SHU
17,18,LUT,12,1,3,8,10,22,-12,6,LUT
18,19,SHU,12,1,2,9,10,31,-21,5,SHU
19,20,BUR,12,1,1,10,9,30,-21,4,BUR
